Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Albany (City) SWMF,525 Rapp Road,,Albany,NY,12205,Albany,4,5188693651,City of Albany,Municipal,Landfill - MSW - permit,[01S02],Yes,594201,4728891,1.1 - Obtained from original submission and unverified process,Asbestos (Friable);Non-petroleum Contaminated Soil;Ash (WWTP Sludge);Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),4-0101-00171/00011,06/25/2009,06/25/2019,"525 Rapp Road
Albany, NY 12205
(42.702565, -73.851095)"
Lafarge North America Inc,1916 State Route 9W,,Coeymans,NY,12143,Albany,4,5187565028,Lafarge North America,Private,Landfill - industrial waste monofill - permit,[01N20],Yes,597471,4706624,,Dust (Cement Kiln);Cement Contaminated with Coal,4-0124-00001/00053,04/24/2006,08/21/2007,
Colonie (T) SWMF,4 Arrowhead Lane,,Colonie,NY,12047,Albany,4,5187832827,Town of Colonie,Municipal,Landfill - MSW - permit,[01LS2601],Yes,603789,4740487,,Yard Waste;Construction & Demolition Debris;Petroleum Contaminated Soil;Industrial;Animal Carcasses;MSW (Residential/Institutional & Commercial),4-0126-00033/00001,04/05/2018,04/04/2028,"4 Arrowhead Lane
Colonie, NY 12047
(42.801704, -73.730765)"
Gil Housel,120 Vine Lane,,Guilderland,NY,12303,Albany,4,5183567827,Gil Housel,Private,Landfill - land clearing debris,[01D01],Yes,586156,4732794,4.2 - Utilization of GIS and existing spatial data,,01D01,07/16/2010,,"120 Vine Lane
Guilderland, NY 12303
(42.742889, -73.947199)"
Hyland Landfill,6653 Herdman Road,Hyland Facility Associates,Angelica,NY,14709,Allegany,9,5854667271,Hyland Facility Associates,Private,Landfill - MSW - permit,[02S17],Yes,251801,4686020,4.2 - Utilization of GIS and existing spatial data,Asbestos (Friable);Construction & Demolition Debris;Non-petroleum Contaminated Soil;Sludge (Industrial);Biosolids;MSW (Residential/Institutional & Commercial);Petroleum Contaminated Soil,9-0232-00003/00002,12/01/2015,05/01/2025,
L.C. Whitford Co. C&D Landfill,Phillips Road,,Wellsville,NY,14880,Allegany,9,5858086725,The L.C. Whitford Co.; Inc.,Private,Landfill - C&DD - permit,[02D06],Yes,254099,4668581,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris,9-0266-00011/00004,10/31/2017,10/30/2027,
Voorhees Hill Road C&D Landfill,Voorhees Hill Road @ Lewis Road,,Wellsville,NY,14895,Allegany,9,5855936177,Southern Tier Kleenfill; Inc.,Private,Landfill - C&DD - permit,[02D05],Yes,262052,4666368,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris,9-0270-00035/00003,08/11/2010,09/01/2020,"Voorhees Hill Road @ Lewis Road
Wellsville, NY 14895
(42.112931, -77.875235)"
Broome County Landfill,286 Knapp Road,,Binghamton,NY,13905,Broome,7,6077634275,Broome County DSWM,County,Landfill - MSW - permit,[04LS0011],Yes,419649,4676879,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Asbestos (Friable);Petroleum Contaminated Soil,7-0399-00027/00002,03/23/2022,03/22/2032,"286 Knapp Road
Binghamton, NY 13905
(42.243511, -75.985169)"
Joker's Wild Ranch; LLC Shavings Mill,709 Pleasant Hill Road,,Port Crane,NY,13833,Broome,7,6073490770,Thomas Illsley,,Landfill - land clearing debris,[04D03],Yes,435926,4669569,,Wood (Brush/ Branches/ Trees/ Stumps),04D03,12/16/2015,,"709 Pleasant Hill Road
Port Crane, NY 13833
(42.174881, -75.7792)"
Farwell Landfill,1430 Farwell Road,,Ischua,NY,14743,Cattaraugus,9,7165578324,Cattaraugus County DPW,County,Landfill - land clearing debris,[05D38],Yes,220881,4679865,4.2 - Utilization of GIS and existing spatial data,Land Clearing Debris,05D38,,,"1430 Farwell Road
Ischua, NY 14743
(42.219462, -78.386938)"
Chautauqua Landfill,3889 Towerville Road,,Ellery,NY,14701-9653,Chautauqua,9,7169854785,Chautauqua County,County,Landfill - MSW - permit,[07S12],Yes,143329,4681819,4.2 - Utilization of GIS and existing spatial data,Ash (Coal-Bottom);Ash (Coal-Fly);Asbestos (Non-Friable);Construction & Demolition Debris;Sludge (Industrial);Waste Tires;Asbestos (Friable);Biosolids;MSW (Residential/Institutional & Commercial),9-0636-00006/00013,10/07/2015,10/06/2025,"3889 Towerville Road
Ellery, NY 14701-9653
(42.201451, -79.315205)"
Carroll C&D Management Facility,309 Dodge Road,,Frewsburg,NY,14738,Chautauqua,9,7165695074,Carol Jones,Private,Landfill - C&DD - permit,[07LC0056],Yes,161498,4659345,,,,,,"309 Dodge Road
Frewsburg, NY 14738
(42.015661, -79.087312)"
Dunkirk Fly Ash Landfill,5141 Van Buren Road,,Pomfret,NY,14063,Chautauqua,9,7166736343,Dunkirk Power LLC,Private,Landfill - industrial waste monofill - permit,[07N21],Yes,138726,4708547,4.2 - Utilization of GIS and existing spatial data,Ash (Coal-Bottom);Ash (Coal-Fly),,,,
Chemung County Area 3 C&D Landfill,1488 County Road 60,,Chemung,NY,14825,Chemung,8,8002273552,Chemung County,County,Landfill - C&DD - permit,[08D04],Yes,360817,4654738,3.6 - Unknown type,Construction & Demolition Debris,8-0728-00004/00007,09/26/2005,09/25/2015,
Chemung County Sanitary Landfill,1488 County Route 60,,Chemung,NY,14825,Chemung,8,8002273552,Chemung County,County,Landfill - MSW - permit,[08S02],Yes,360822,4654736,,Non-Radioactive;Construction & Demolition Debris;Petroleum Contaminated Soil;Industrial;MSW (Residential/Institutional & Commercial),8-0728-00004/00013,06/02/2016,06/01/2026,"1488 County Route 60
Chemung, NY 14825
(42.070524, -77.73724)"
Voorhees Land Clearing Debris,1053/1056 Hoffman Hollow Road,,Lowman,NY,14861,Chemung,8,6072592014,Floyd R Voorhees,Private,Landfill - land clearing debris,[08D09],Yes,360742,4661381,,Land Clearing Debris,08D09,,,
Chenango County Landfill,439 County Road 47,,Norwich,NY,13815,Chenango,7,6073371790,Chenango County,County,Landfill - MSW - permit,[09S16],Yes,444503,4713241,4.3 - Utilization of Digital Orthophoto Quads,Treated RMW;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Asbestos (Friable);Industrial;Sewage Treatment Plant Sludge,7-0848-00005/00003,07/08/2015,07/07/2025,"439 County Road 47
Norwich, NY 13815
(42.559415, -75.670908)"
East Murtagh Hill Road LCD Lf,Murtagh Hill Road,,Altona,NY,12910,Clinton,5,5185634188,George J. Barber,Municipal,Landfill - land clearing debris,[10D09],Yes,612127,4961428,1 - No accuracy stated,Land Clearing Debris,10D09,,,
Champlain (V) LCD Landfill,11104 State Route 9,,Champlain,NY,12919,Clinton,5,5182984152,Village of Champlain,Municipal,Landfill - land clearing debris,[10D19],Yes,622930,4982521,4 - GIS Assisted,,10D19,,,
Grasshopper Pit LCD Lf,Route 22 (West Side),,Chesterfield,NY,12944,Clinton,5,5188344617,Ray Jay Properties LLC,Private,Landfill - land clearing debris,[16D05],Yes,618981,4930230,1 - No accuracy stated,Land Clearing Debris,16D05,11/20/1997,,
Clinton County Landfill,286 Sand Road,,Morrisonville,NY,12962,Clinton,5,5185635514,Clinton County,County,Landfill - MSW - permit,[10S20],Yes,611178,4950413,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),5-0946-00049/00005,03/02/2018,03/01/2023,"286 Sand Road
Morrisonville, NY 12962
(44.690578, -73.595272)"
NEWSNY/Clinton County LCD LF,286 Sand Road,,Morrisonville,NY,12962,Clinton,5,5185635514,Clinton County,County,Landfill - land clearing debris,[10D17],Yes,611553,4949667,4.3 - Utilization of Digital Orthophoto Quads,,10D17,01/20/2010,,"286 Sand Road
Morrisonville, NY 12962
(44.690578, -73.595272)"
L&R Landscaping LCD Lf,Fuller Road,,Peru,NY,12972,Clinton,5,5185614467,Todd Deyo,Private,Landfill - land clearing debris,[10D12],Yes,621410,4934618,1 - No accuracy stated,Land Clearing Debris,10D12,10/13/1999,,
Reeves/Norco LCD Landfill,Reeves Lane,,Plattsburgh,NY,12901,Clinton,5,5185367519,City of Plattsburgh,Municipal,Landfill - land clearing debris,[10D14],Yes,620022,4948645,1 - No accuracy stated,Land Clearing Debris,10D14,04/02/2002,,
X-Plo LCD Lf,Kelly Road,,Plattsburgh,NY,12901,Clinton,5,5185617810,Don Jerry X-Plo Inc,Private,Landfill - land clearing debris,[10D05],Yes,617634,4946383,1 - No accuracy stated,,10D05,05/24/1994,,
Trudeau  Sand & Gravel,1115 NYS Route 3,PO Box 235,Saranac Lake,NY,12983,Clinton,5,5188911940,Richard A Trudeau,Private,Landfill - land clearing debris,[10D11],Yes,572087,4913779,4.2 - Utilization of GIS and existing spatial data,Land Clearing Debris,10D11,07/30/1999,,"1115 NYS Route 3
Saranac Lake, NY 12983
(44.372351, -74.096025)"
Cortland County Landfill Westside Extension,4708 Town Line Rd.,,McGraw,NY,13101,Cortland,7,6077568077,Cortland County,County,Landfill - MSW - permit,[12LS0001],Yes,412515,4720747,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Sewage Treatment Plant Sludge;Asbestos (Friable & Non-Friable),7-1122-00052/00007,11/12/2014,11/11/2024,"4708 Town Line Rd.
McGraw, NY 13101
(42.627202, -76.070085)"
Burton Clark C & D,41155 State Highway 10,,Delhi,NY,13753,Delaware,4,6077462727,Burton F. Clark; Inc.,Private,Landfill - C&DD - permit,[13D02],Yes,503403,4678357,,Construction & Demolition Debris,4-1228-00043/00004,04/30/2018,04/30/2023,"41155 State Highway 10
Delhi, NY 13753
(42.256915, -74.956939)"
Mountain Valley Fuel Woods,160 Kissimmie Rd.,,Fleischmanns,NY,12430,Delaware,4,8452544306,John Blish,Private,Landfill - land clearing debris,[13D05],Yes,537256,4667504,1 - No accuracy stated,Land Clearing Debris,13D05,09/24/2004,,"160 Kissimmie Rd.
Fleischmanns, NY 12430
(42.159464, -74.549365)"
Delaware County SWMF,32230 NYS Route 10,,Walton,NY,13856,Delaware,4,6077462128,Delaware County,County,Landfill - C&DD - permit,[13D01],Yes,495542,4667569,1.1 - Obtained from original submission and unverified process,Construction & Demolition Debris,4-1256-00040/00004,07/22/2019,06/01/2024,
Delaware County SWMF,32230 NYS Route 10,,Walton,NY,13856,Delaware,4,6077462128,Delaware County,County,Landfill - MSW - permit,[13S18],Yes,495542,4667569,1.1 - Obtained from original submission and unverified process,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Asbestos (Friable);Sewage Treatment Plant Sludge;Wood (Brush/ Branches/ Trees/ Stumps);Petroleum Contaminated Soil;Commingled Paper & Containers,4-1256-00008/00007,07/19/2019,06/04/2024,
Chaffee Landfill,10860 Olean Road,,Chaffee,NY,14030-9799,Erie,9,7164965192,Waste Management of New York LLC,Private,Landfill - MSW - permit,[15S14],Yes,213129,4720120,4.2 - Utilization of GIS and existing spatial data,Ash (Coal-Bottom);Ash (Coal-Fly);Asbestos (Non-Friable);Construction & Demolition Debris;Sludge (Industrial);Asbestos (Friable);Biosolids;MSW (Residential/Institutional & Commercial),9-1462-00001/00006,08/09/2017,08/08/2027,"10860 Olean Road
Chaffee, NY 14030-9799
(42.583073, -78.487123)"
James Services,3006 Hickox Road,,Eden,NY,14075,Erie,9,7169923800,James E. Burdick,Private,Landfill - land clearing debris,[15D28],Yes,182274,4733860,4.2 - Utilization of GIS and existing spatial data,,15D28,08/07/1996,,"3006 Hickox Road
Eden, NY 14075
(42.692561, -78.877765)"
Orchard Park Yard Waste Compost,6909 Milestrip Road,,Orchard Park,NY,14127,Erie,9,7166626066,Town of Orchard Park,Municipal,Landfill - land clearing debris,[15D47],Yes,194781,4743987,4.3 - Utilization of Digital Orthophoto Quads,,15D47,10/09/2002,,"6909 Milestrip Road
Orchard Park, NY 14127
(42.789063, -78.732211)"
NRG Huntley Landfill,3500 River Road,,Tonawanda,NY,14150,Erie,9,7168793876,Huntley Power LLC,Private,Landfill - industrial waste monofill - permit,[15N24],Yes,179570,4767036,4.2 - Utilization of GIS and existing spatial data,Ash (Coal-Fly);Ash (Coal-Bottom),9-1464-00089/00002,11/03/2016,01/03/2023,"3500 River Road
Tonawanda, NY 14150
(42.970813, -78.927581)"
Elizabethtown LCD Landfill,Bronson Way,,Elizabethtown,NY,12932,Essex,5,5188736555,Town of Elizbethtown,Municipal,Landfill - land clearing debris,[16D15],Yes,609926,4898218,1 - No accuracy stated,Land Clearing Debris,16D15,11/09/2012,,
Glomann LCD Landfill,29 Glomann Road,,Keeseville,NY,12944,Essex,5,5188345037,John Glomann,Private,Landfill - land clearing debris,[16D10],Yes,618821,4924202,4.3 - Utilization of Digital Orthophoto Quads,Land Clearing Debris,16D10,05/09/2005,,"29 Glomann Road
Keeseville, NY 12944
(44.460497, -73.5066)"
North Elba C&D Landfill,74 Recycle Circle Lane,,Lake Placid,NY,12946,Essex,5,5185232940,Town of North Elba,Municipal,Landfill - C&DD - permit,[16LC0001],Yes,582609,4902346,,Construction & Demolition Debris,5-1540-00136/00003,03/16/2020,09/02/2025,"74 Recycle Circle Lane
Lake Placid, NY 12946
(44.271383, -73.967485)"
Minerva LCD Lf,County Route 37,,Minerva,NY,12851,Essex,5,5182512869,Town of Minerva,Municipal,Landfill - land clearing debris,[16D06],Yes,584831,4850223,,,16D06,07/23/1998,,
Cheever Pit (Reale) LCD LF,NYS Route 9N,Mile Marker 1228,Moriah,NY,12960,Essex,5,5185856782,Anthony Reale,Private,Landfill - land clearing debris,[16D13],Yes,623349,4857770,1 - No accuracy stated,,16D13,05/18/2011,,
Newcomb LCD Lf,69 Hudson River Road,,Newcomb,NY,12852,Essex,5,5185823131,Town of Newcomb,Municipal,Landfill - land clearing debris,[16D08],Yes,569531,4868023,,,16D08,,,"69 Hudson River Road
Newcomb, NY 12852
(43.96227, -74.134467)"
Green Valley LCD Landfill,1341 State Route 3,,Saranac Lake,NY,12983,Essex,5,5188911940,Carolyn Trudeau,Private,Landfill - land clearing debris,[16D04],Yes,573041,4915059,,Land Clearing Debris,16D04,05/21/1997,,"1341 State Route 3
Saranac Lake, NY 12983
(44.384778, -74.082277)"
International Paper Ticonderoga Mill Landfill,568 Shore Airport Road,,Ticonderoga,NY,12883,Essex,5,5185855300,International Paper Company,Private,Landfill - industrial waste monofill - permit,[16N18],Yes,627916,4860163,,Sludge (Paper mill),5-1548-00008/00005,03/01/2018,02/29/2028,"568 Shore Airport Road
Ticonderoga, NY 12883
(43.889211, -73.405758)"
West's Mabel's Sand Pit LCD Landfill,243 Reber Road,,Willsboro,NY,12996,Essex,5,5185932148,Douglas & Beulah West,Private,Landfill - land clearing debris,[16D14],Yes,621410,4908651,1 - No accuracy stated,Land Clearing Debris,16D14,03/12/2012,,"243 Reber Road
Willsboro, NY 12996
(44.322563, -73.478116)"
Franklin County Regional Landfill,828 County Route 20,,Constable,NY,12926,Franklin,5,5184838270,County of Franklin SWMA,County,Landfill - MSW - permit,[17LS0001],Yes,552124,4980020,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Sewage Treatment Plant Sludge;Asbestos (Friable & Non-Friable),5-1699-00003/00005,01/28/2019,01/28/2024,"828 County Route 20
Constable, NY 12926
(44.974465, -74.343777)"
Titus Mountain Family Ski Center LLC LCD Landfill,215 Johnson Road,P.O. Box 390,Malone,NY,12953,Franklin,5,5184833740,Titus Mountain Sand and Gravel LLC,Private,Landfill - land clearing debris,[17D06],Yes,560650,4957116,,Land Clearing Debris;Brick;Concrete;Soil (Clean);Asphalt,17D06,07/15/2008,,"215 Johnson Road
Malone, NY 12953
(44.766833, -74.233127)"
Fulton County Landfill,847 Mud Road,,Johnstown,NY,12095,Fulton,5,5187365501,Fulton County,County,Landfill - MSW - permit,[18S20],Yes,543214,4761865,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Asbestos (Friable);Waste Tires;Construction & Demolition Debris;Industrial;Sewage Treatment Plant Sludge;Yard Waste;Sludge (Industrial);Sludge (Paper mill);Petroleum Contaminated Soil,5-1728-00005/00003,02/15/2017,02/14/2027,
Fulton County Landfill,847 Mud Road,,Johnstown,NY,12095,Fulton,5,5187365501,Fulton County,County,Landfill gas recovery,[18F],Yes,543214,4761865,1 - No accuracy stated,,5-1728-00005/00003,02/15/2017,02/14/2027,
Bovee Excavating,323 County Road 113,,Northville,NY,12134,Fulton,5,5188634521,Mr. Kim Bovee,Private,Landfill - land clearing debris,[18D06],Yes,569400,4784608,,Land Clearing Debris,18D06,03/09/2005,,
Northampton Land Clearing Debris Landfill,Prospect Hill Cemetery,West Prospect St,Northville,NY,12134,Fulton,5,5188634040,Town of Northampton,Municipal,Landfill - land clearing debris,[18D07],Yes,567009,4787114,4 - GIS Assisted,Wood (Brush/ Branches/ Trees/ Stumps),18D07,06/05/2015,,
US Gypsum,2844 Judge Road,,Oakfield,NY,14125,Genesee,8,5853445000,US Gypsum Company,Private,Landfill - industrial waste monofill - permit,[19N01],Yes,232189,4773736,,,8-1838-00007/00013,06/10/2014,06/09/2024,"2844 Judge Road
Oakfield, NY 14125
(43.073636, -78.29349)"
Belgian Trucking & Excavating LLC,County Route 13,(1/4 mile west of 878 County Route 13),Lexington,NY,12468,Greene,4,5188213620,Floyd Dart,Private,Landfill - land clearing debris,[20D12],Yes,554260,4678605,4.1 - Address Matching,Wood (Brush/ Branches/ Trees/ Stumps),20D12,03/17/2017,,
Arietta Sand Pit Land Clearing Debris Landfill,139 Old Piseco Road,,Arietta,NY,12139,Hamilton,5,5185483415,Town of Arietta,Municipal,Landfill - land clearing debris,[21D02],Yes,539276,4810398,1 - No accuracy stated,Land Clearing Debris,21D02,05/19/1994,,
Indian Lake Ski Hill Land Clearing Debris Landfill,Route 30,,Indian Lake,NY,12842,Hamilton,5,5189244060,Town of Indian Lake,Municipal,Landfill - land clearing debris,[21D06],Yes,558488,4849233,1 - No accuracy stated,,21D06,04/23/2001,,
Inlet Land Clearing Debris Landfill,65 Limekiln Lake Road,,Inlet,NY,13360,Hamilton,5,3153574541,Town of Inlet,Municipal,Landfill - land clearing debris,[21D01],Yes,517198,4842344,1 - No accuracy stated,,21D01,,,"65 Limekiln Lake Road
Inlet, NY 13360
(43.735448, -74.787288)"
Vogel Pit #1,Tamarack Road,,Lake Pleasant,NY,12108,Hamilton,5,5185485995,Donald Vogel,Private,Landfill - land clearing debris,[21D09],Yes,544997,4813288,,Land Clearing Debris,21D09,01/20/2006,,
Hope LCD (No. 2) Landfill,NYS Route 30,,Northville,NY,12134,Hamilton,5,5188632801,Town of Hope,Municipal,Landfill - land clearing debris,[21D08],Yes,561381,4795350,1 - No accuracy stated,Land Clearing Debris,21D08,06/23/2003,,
Wells TS and LCD LF,232 Griffin Road,,Wells,NY,12190,Hamilton,5,5189247912,Town of Wells,Municipal,Landfill - land clearing debris,[21D11],Yes,559211,4806968,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),,,,"232 Griffin Road
Wells, NY 12190
(43.415122, -74.268713)"
Poland Sand & Gravel Mine #2,NYS RTE 8,,Cold Brook,NY,13324,Herkimer,6,3158263755,Poland Realty; LLC,Private,Landfill - land clearing debris,[22D08],Yes,495751,4785550,4.3 - Utilization of Digital Orthophoto Quads,,22D08,12/03/2008,,
Frankfort Land Clearing Debris Landfill,386 Gulf Road,,Frankfort,NY,13340,Herkimer,6,3157245461,Town of Frankfort,Municipal,Landfill - land clearing debris,[22D09],Yes,486983,4761943,4.2 - Utilization of GIS and existing spatial data,,22D09,01/14/2014,,"386 Gulf Road
Frankfort, NY 13340
(43.010229, -75.159376)"
Webb LCD Landfill,Bisby Road,,Old Forge,NY,13420,Herkimer,6,3153693412,Town of Webb,,Landfill - land clearing debris,[22D07],Yes,502541,4837526,1 - No accuracy stated,,22D07,05/11/2004,,
Weakley Sand and Gravel Landfill,8968 North Main Street,,Poland,NY,13431,Herkimer,6,3158263893,Bruce Weakley,Private,Landfill - land clearing debris,[22D10],Yes,494656,4786221,,Wood (Brush/ Branches/ Trees/ Stumps);Wood (Trees/Stumps),22D10,,,"8968 North Main Street
Poland, NY 13431
(43.23029, -75.069147)"
Alexandria (T) Land Clearing Landfill,Barn Settlement Road,,Alexandria Bay,NY,13607,Jefferson,6,3154829519,Town of Alexandria,Municipal,Landfill - land clearing debris,[23D22],Yes,429802,4910628,4.1 - Address Matching,,23D22,04/03/1995,,
Black River Tree Removal #2 LCD,29807 Andrews Rd.,,Black River,NY,13612,Jefferson,6,3157734509,Tim Percy,Private,Landfill - land clearing debris,[23D30],Yes,437756,4870551,4.1 - Address Matching,Land Clearing Debris,23D30,07/28/2008,,"29807 Andrews Rd.
Black River, NY 13612
(43.984954, -75.775976)"
Black River Tree Removal LCD,29807 Andrews Road,,Black River,NY,13612,Jefferson,6,3157734509,Tim Percy,Private,Landfill - land clearing debris,[23D24],Yes,437655,4870556,3.7 - Sportsman Hand-Held Unit (w/o Selective Availability),Yard Waste,23D24,04/01/2004,,"29807 Andrews Road
Black River, NY 13612
(43.984954, -75.775976)"
Clayton LCD,41591 County Route 4,,Clayton,NY,13624,Jefferson,6,3156862557,Town of Clayton,Municipal,Landfill - land clearing debris,[23D25],Yes,407318,4893710,,Land Clearing Debris,23D25,09/01/2004,,
Vespa Sand & Gravel LCD,Cemetary Road,,Felts Mills,NY,13638,Jefferson,6,3157886330,John Vespa Inc.,Private,Landfill - land clearing debris,[23D31],Yes,438897,4873319,4.1 - Address Matching,Land Clearing Debris,23D31,08/16/2008,,
Williamson Services LCD,12988 North Croghan Road,,Natural Bridge,NY,13665,Jefferson,6,3156444000,Williamson Services LLC,Private,Landfill - land clearing debris,[23D32],Yes,459461,4878669,4.3 - Utilization of Digital Orthophoto Quads,Wood (Trees/Stumps),23D32,08/25/2008,,"12988 North Croghan Road
Natural Bridge, NY 13665
(44.064367, -75.492081)"
Orleans LCD,East Line Tanners Rd; County Route 3,,Orleans,NY,13656,Jefferson,6,3156589920,Town of Orleans,Municipal,Landfill - land clearing debris,[23D23],Yes,440015,4884452,,Land Clearing Debris,23D23,04/05/2000,,
Development Authority of the North Country Landfill,23400 State Route 177,,Rodman,NY,13682,Jefferson,6,3156613230,Development Authority of the North Country,Municipal,Landfill - MSW - permit,[23LS0030],Yes,427302,4852830,4.1 - Address Matching,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Asbestos (Friable & Non-Friable),6-2252-00007/00006,01/26/2018,01/25/2023,"23400 State Route 177
Rodman, NY 13682
(43.828508, -75.914884)"
Hounsfield Land Clearing Landfill,Fawdrey Road,,Sackets Harbor,NY,13685,Jefferson,6,3157826380,Town of Hounsfield,Municipal,Landfill - land clearing debris,[23D21],Yes,413460,4863051,4.1 - Address Matching,,23D21,01/17/1995,,
Vespa Sand & Stone Rte 126 LCD,Rte 126,,Watertown,NY,13601,Jefferson,6,3157886330,John Vespa Inc.,Private,Landfill - land clearing debris,[23D33],Yes,430457,4867382,1 - No accuracy stated,Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Asphalt;Soil (Clean),23D33,06/14/2010,,
