,Name,Longitude,Latitude
0,Watkins Glen,-76.90013376,42.36753974
1,FDR Four Freedoms,-73.96037937,40.75067655
2,Mine Kill,-74.4611211,42.43402454
3,Amherst,-78.74808818,42.97100087
4,Montauk Point,-71.88138835,41.07145028
5,Whetstone Gulf,-75.47741546,43.69850757
6,Taconic,-73.51743928,42.07786386
7,Denny Farrell Riverbank,-73.95685417,40.82553482
8,Long Point,-76.21705748,44.02844022
9,Fort Niagara,-79.05258585,43.26163494
10,Schunnemunk,-74.10271725,41.40211076
11,Bethpage,-73.45680354,40.74751741
12,Planting Fields Arboretum,-73.55722533,40.86217528
13,Canoe Picnic Point,-76.07471216,44.30417139
14,Beechwood,-77.0337933,43.26669445
15,Lakeside Beach,-78.24370249,43.36638358
16,Barcelona Lighthouse,-79.5951487,42.34102814
17,Harriet Hollister Spencer,-77.51547809,42.688112
18,Knox Farm,-78.64774994,42.77386727
19,Burnham Point,-76.26444427,44.16250249
20,Lake Taghkanic,-73.70588782,42.09288182
21,Blauvelt,-73.93737308,41.07424137
22,Grass Point,-75.99593007,44.28176681
23,Camp Hero,-71.8777873,41.06177195
24,Coles Creek,-75.12323609,44.88473357
25,Whirlpool,-79.06341797,43.12040048
26,Cayuga Lake,-76.75531185,42.89795191
27,Robert V. Riddell,-74.93710757,42.47625451
28,Belmont Lake,-73.336795,40.7262324
29,Hudson River Islands,-73.7783764,42.32888525
30,Long Point,-76.69840928,42.71741104
31,Westcott Beach,-76.11801703,43.89698048
32,Heckscher,-73.16492238,40.70866151
33,Valley Stream,-73.6942502,40.67876603
34,Southwick Beach,-76.20460033,43.76329127
35,Shirley Chisholm,-73.86532399,40.64601642
36,Hudson Highlands,-73.96211032,41.43375567
37,Tallman Mountain,-73.91033132,41.02642268
38,Pinnacle,-77.21456092,42.09735297
39,Cherry Plain,-73.41221527,42.61786779
40,High Tor,-73.98401299,41.19061787
41,Old Erie Canal,-75.92176935,43.0754747
42,Highland Lakes,-74.32857545,41.49130058
43,Beaver Island,-78.95310636,42.96576594
44,Chenango Valley,-75.83623684,42.21554025
45,Max V. Shaul,-74.41092231,42.54799377
46,DeVeaux Woods,-79.05874318,43.1194168
47,East River,-73.96205753,40.72142461
48,Kring Point,-75.85615854,44.37718875
49,Donald J. Trump,-73.80837178,41.34539868
50,Midway,-79.4224274,42.20087248
51,Letchworth,-77.97576922,42.64592135
52,Cold Spring Harbor,-73.46022301,40.86283939
53,Battle Island,-76.43604418,43.36167093
54,Cumberland Bay,-73.42117996,44.73334654
55,Wilson-Tuscarora,-78.85560888,43.30377729
56,Minnewaska,-74.29323529,41.71581549
57,Hempstead Lake,-73.64242151,40.682314
58,Darien Lakes,-78.4114923,42.91181416
59,Pixley Falls,-75.34147555,43.40431845
60,John Boyd Thacher,-74.01470616,42.65546552
61,Roberto Clemente,-73.92004274,40.85536367
62,Sonnenberg Gardens and Mansion,-77.2721596,42.89814677
63,Caleb Smith Park Preserve,-73.22601645,40.85303798
64,Evangola,-79.10185926,42.60579936
65,Montauk Downs,-71.9385278,41.04928768
66,Rockland Lake,-73.92191924,41.13621068
67,Bear Mountain,-73.99240161,41.29900423
68,Grafton Lakes,-73.44286108,42.78418998
69,Delta Lake,-75.42187224,43.29096558
70,DeWolf Point,-75.9901418,44.33274077
71,St. Lawrence,-75.57656984,44.62983634
72,State Park at the Fair,-76.21696591,43.07110463
73,Orient Beach,-72.27152525,41.12855132
74,Joseph Davis,-79.03992446,43.21412115
75,Goosepond Mountain,-74.24664764,41.33752483
76,Hook Mountain,-73.91588172,41.1517064
77,Franny Reese Preserve,-73.95596437,41.70146445
78,Peebles Island,-73.68454923,42.78232136
79,Point Au Roche,-73.38769347,44.77840043
80,Hither Hills,-72.02131304,41.01605601
81,Connetquot River,-73.14924969,40.76942925
82,Seneca Lake,-76.95454977,42.8739501
83,Reservoir,-79.01503815,43.13401154
84,Alfred E. Smith/Sunken Meadow,-73.26320632,40.90999227
85,Sag Harbor Golf Course,-72.26056664,40.99702452
86,Croil Island,-74.97947525,44.97256811
87,Woodlawn Beach,-78.85220785,42.7938189
88,Buttermilk Falls,-76.51225664,42.40402596
89,Newtown Battlefield,-76.73631727,42.04902652
90,Rockefeller,-73.83253999,41.10969309
91,Mary Island,-75.92157812,44.3655711
92,Long Point,-79.4109114,42.17876065
93,Betty & Wilbur Davis,-74.83290982,42.66363969
94,Golden Hill,-78.48015886,43.36946168
95,Indian Hills,-77.15476554,42.09305489
96,Sterling Forest,-74.24676588,41.21191921
97,Fair Haven Beach,-76.69131068,43.34170812
98,Moreau Lake,-73.7337769,43.23321367
99,Wildwood,-72.79457341,40.96049996
100,Caumsett,-73.46867735,40.92812462
101,Cedar Point,-76.19613394,44.2034892
102,Nissequogue River,-73.2316962,40.89867044
103,Green Lakes,-75.9818848,43.04697832
104,Selkirk Shores,-76.19844002,43.55566201
105,Clark Reservation,-76.09300044,42.9975225
106,Devil's Hole,-79.0459607,43.13463185
107,Bayswater,-73.77255293,40.6128179
108,Verona Beach,-75.71658659,43.17800825
109,Robert Moses,-74.82735035,45.00064012
110,Donald J. Trump,-73.80405211,41.26263355
111,Palisades,-73.90354437,41.00004239
112,Stony Brook,-77.69296639,42.51855953
113,Saratoga Spa,-73.80393559,43.05089145
114,Hudson River Park,-74.01174318,40.73549893
115,Brookhaven,-72.86481657,40.92095004
116,Higley Flow,-74.91464273,44.49829863
117,James Baird,-73.79543181,41.6880051
118,Harriman,-74.10169996,41.23733048
119,Buckhorn Island,-78.98074732,43.05851648
120,Schodack Island,-73.77652044,42.49059902
121,Glimmerglass,-74.86868392,42.79362617
122,Hamlin Beach,-77.95509767,43.3600913
123,Gilgo,-73.34293029,40.6342881
124,Rock Island Lighthouse,-76.01679557,44.28031135
125,Ogden & Ruth Livingston Mills,-73.93480595,41.8530054
126,Wonder Lake,-73.64658631,41.49190316
127,Eel Weir,-75.47592958,44.62999004
128,Sampson,-76.9013257,42.72549002
129,Amsterdam Beach,-71.90026531,41.04777113
130,Fillmore Glen,-76.38800625,42.69096898
131,Taughannock Falls,-76.60976708,42.54073824
132,Jacques Cartier,-75.6805192,44.55484146
133,Shadmoor,-71.92772812,41.03868098
134,Brentwood,-73.27112999,40.79155338
135,Four Mile Creek,-78.99746851,43.27437645
136,Bowman Lake,-75.6806338,42.51998474
137,Robert Moses,-73.26514244,40.62351775
138,Bonavista,-76.86772498,42.67319422
139,Gantry Plaza,-73.95814962,40.74651899
140,Clarence Fahnestock,-73.84764739,41.45275633
141,Mexico Point,-76.25846408,43.5199984
142,Macomb Reservation,-73.61240776,44.61786492
143,Franklin Delano Roosevelt,-73.80875691,41.28230417
144,Silver Lake,-78.05656098,42.67925422
145,Lake Erie,-79.43141787,42.42289079
146,Captree,-73.26127359,40.63885218
147,Cedar Island,-75.79052886,44.44967933
148,Keuka Lake,-77.12858336,42.58218255
149,Old Croton Aqueduct,-73.86317128,41.16566387
150,Napeague,-72.07589738,40.993265
151,Nyack Beach,-73.90865449,41.1271277
152,Allegany,-78.76855865,42.05475752
153,Earl W. Brydges Artpark,-79.04192821,43.16561822
154,Chittenango Falls,-75.84665631,42.98148474
155,Mark Twain,-76.83569091,42.21166069
156,Mohawk River,-73.84963984,42.80040938
157,Clay Pit Ponds,-74.22904609,40.54056355
158,Robert G. Wehle,-76.27550032,43.86716908
159,Helen L. McNitt,-75.87410835,42.97085176
160,Waterson Point,-76.01007586,44.33917818
161,Bayard Cutting Arboretum,-73.15775835,40.74724054
162,Jones Beach,-73.51642732,40.59601085
163,Storm King,-73.9913464,41.42564449
164,Braddock Bay,-77.70386572,43.29419545
165,Crab Island,-73.41714939,44.661758
166,Buffalo Harbor,-78.86468299,42.84638726
167,Bristol Beach,-73.93253108,42.10837178
168,Lake Superior,-74.87942648,41.66793053
169,Gilbert Lake,-75.13246312,42.586584
170,Galop Island,-75.39276378,44.76843672
171,Sandy Island Beach,-76.195665,43.63093161
172,Haverstraw Beach,-73.94317048,41.17799181
173,Chimney Bluffs,-76.9170242,43.28094552
174,Niagara Falls,-79.06701953,43.0867482
175,Hallock,-72.59747381,40.99072069
176,Keewaydin,-75.92971103,44.32343021
177,Two Rivers,-76.54731999,42.02516355
178,Robert H. Treman,-76.57954421,42.40057564
179,Trail View,-73.47016875,40.8141101
180,Oquaga Creek,-75.42467935,42.17805145
181,Margaret Lewis Norrie,-73.93895514,41.84153655
182,Walkway over the Hudson,-73.94495089,41.710587
183,Wellesley Island,-76.01544821,44.329238
184,Lake Lauderdale,-73.37041513,43.08508562
